objectid,title,creator,date,archival date,description,fiddler_name,championship_dates,subject,location,latitude,longitude,source,type,format original,format,findingaid,digital collection,language,rights,rightsstatement,display_template,identifier,filename,object_location,image_small,image_thumb,filename_old,filename_older
fiddlers001,"Weiser Contest 1972 (Tape 1, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1972-06,June 1972,"Performance of Clyde Wheat, Allan Rice, Raymond Dotty, James Widener.",Clyde Wheat; Allan Rice; Raymond Dotty; James Widner,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1972tape01_side1,weisercontest_1972_tape01_side1.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1972_tape01_side1.mp3,,,weisercontest1972tape01_side1.mp3,weisercontest1972tape01_side1.mp3
fiddlers002,"Weiser Contest 1972 (Tape 1, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1972-06,June 1972,"Performance of Coy Daily, Junior Daugherty, Jim Hoots, Jim Morris and more",Coy Daily; Junior Daugherty; Jim Hoots; Jim Morris,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1972tape01_side2,weisercontest_1972_tape01_side2.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1972_tape01_side2.mp3,,,weisercontest1972tape01_side2.mp3,weisercontest1972tape01_side2.mp3
fiddlers003,"Weiser Contest 1974 (Tape Jr, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1974-06,June 1974,"Performance of Amy Kinney, Mark O'connor and more",Amy Kinney; Mark O'Connor,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1974tapeJrJr_side2,weisercontest_1974_tapejrjr_side2.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1974_tapejrjr_side2.mp3,,,weisercontest1974tapeJrJr_side2.mp3,weisercontest1974tapeJrJr_side2.mp3
fiddlers004,"Weiser Contest 1975 (Tape 2, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1975-06,June 1975,"Performance of Dough Thomas, Jess Copper, Mark O'connor, Ammy Kninney",Doug Thomas; Jess Copper; Mark O'Connor; Amy Kinney,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1975tape02_side1,weisercontest_1975_tape02_side1.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1975_tape02_side1.mp3,,,weisercontest1975tape02_side1.mp3,weisercontest1975tape02_side1.mp3
fiddlers005,"Weiser Contest 1975 (Tape 2, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1975-06,June 1975,"Performance of Mark O'Connor, J'nna Jacoby, Jay Pitcher, Ammy Kinney and more.",Mark O'Connor; J'Anna Jacoby; Jay Pitcher; Amy Kinney,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1975tape02_side2,weisercontest_1975_tape02_side2.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1975_tape02_side2.mp3,,,weisercontest1975tape02_side2.mp3,weisercontest1975tape02_side2.mp3
fiddlers006,"Weiser Contest 1977 (Tape 1, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1977-06,June 1977,"Performance of Amy Kinney, Randy Pollard, Randy Sloan and more",Amy Kinney; Randy Pollard; Randy Sloan,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1977tape01_side1,weisercontest_1977_tape01_side1.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1977_tape01_side1.mp3,,,weisercontest1977tape01_side1.mp3,weisercontest1977tape01_side1.mp3
fiddlers007,"Weiser Contest 1977 (Tape 1, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1977-06,June 1977,"Performance of Tony Ludiker, Brendan Wallace, Jess Copper and more",Tony Ludiker; Brendan Wallace; Jess Copper,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1977tape01_side2,weisercontest_1977_tape01_side2.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1977_tape01_side2.mp3,,,weisercontest1977tape01_side2.mp3,weisercontest1977tape01_side2.mp3
fiddlers008,"Weiser Contest 1978 (Tape 6, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1978-06,June 1978,"Performance of Benny Thomason, Marvin Johson and more",Benny Thomasson; Marvin Johson,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1978tape06_side1,weisercontest_1978_tape06_side1.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1978_tape06_side1.mp3,,,weisercontest1978tape06_side1.mp3,weisercontest1978tape06_side1.mp3
fiddlers009,"Weiser Contest 1978 (Tape 6, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1978-06,June 1978,"Performance of Donald Moss, Holy Davis, Leonard Green and more",Donald Moss; Holy Davis; Leonard Green,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1978tape06_side2,weisercontest_1978_tape06_side2.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1978_tape06_side2.mp3,,,weisercontest1978tape06_side2.mp3,weisercontest1978tape06_side2.mp3
fiddlers010,"Weiser Contest 1980 (Tape 7, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1980-06,June 1980,"Performance of Mark O'Connor, Terry Field, Dale Lake and more",Mark O'Connor; Terry Field; Dale Lake,,National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510,-116.9693,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,weisercontest1980tape07_side1,weisercontest_1980_tape07_side1.mp3,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1980_tape07_side1.mp3,,,weisercontest1980tape07_side1.mp3,weisercontest1980tape07_side1.mp3
