objectid,filename,title,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fiddlers001,weisercontest1972tape01_side1.mp3,"Weiser Contest 1972 (Tape 1, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1972-06,,"Performance of Clyde Wheat, Allan Rice, Raymond Dotty, James Widener.",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1972tape01_side 1,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1972tape01_side1.mp3,,
fiddlers002,weisercontest1972tape01_side2.mp3,"Weiser Contest 1972 (Tape 1, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1972-06,,"Performance of Coy Daily, Junior Daugherty, Jim Hoots, Jim Morris and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1972tape01_side 2,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1972tape01_side2.mp3,,
fiddlers003,weisercontest1974tapeJrJr_side2.mp3,"Weiser Contest 1974 (Tape Jr, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1974-06,,"Performance of Amy Kinney, Mark O'connor and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1974tapeJrJr_side 2,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1974tapeJrJr_side2.mp3,,
fiddlers004,weisercontest1975tape02_side1.mp3,"Weiser Contest 1975 (Tape 2, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1975-06,,"Performance of Dough Thomas, Jess Copper, Mark O'connor, Ammy Kninney",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1975tape02_side1,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1975tape02_side1.mp3,,
fiddlers005,weisercontest1975tape02_side2.mp3,"Weiser Contest 1975 (Tape 2, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1975-06,,"Performance of Mark O'Connor, J'nna Jacoby, Jay Pitcher, Ammy Kinney and more.",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1975tape02_side2,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1975tape02_side2.mp3,,
fiddlers006,weisercontest1977tape01_side1.mp3,"Weiser Contest 1977 (Tape 1, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1977-06,,"Performance of Amy Kinney, Randy Pollard, Randy Sloan and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1977tape01_side1,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1977tape01_side1.mp3,,
fiddlers007,weisercontest1977tape01_side2.mp3,"Weiser Contest 1977 (Tape 1, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1977-06,,"Performance of Tony Ludiker, Brendan Wallace, Jess Copper and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1977tape01_side2,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1977tape01_side2.mp3,,
fiddlers008,weisercontest1978tape06_side1.mp3,"Weiser Contest 1978 (Tape 6, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1978-06,,"Performance of Benny Thomason, Marvin Johson and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1978tape06_side1,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1978tape06_side1.mp3,,
fiddlers009,weisercontest1978tape06_side2.mp3,"Weiser Contest 1978 (Tape 6, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1978-06,,"Performance of Donald Moss, Holy Davis, Leonard Green and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1978tape06_side2,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1978tape06_side2.mp3,,
fiddlers010,weisercontest1980tape07_side1.mp3,"Weiser Contest 1980 (Tape 7, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1980-06,,"Performance of Mark O'Connor, Terry Field, Dale Lake and more",National;  oldtime;  fiddler;  grand national;  small fry;  junior;  senior;  ladies;  men;  junior junior,"Weiser, Idaho",44.2510 N,116.9693 W,"Lyle J. Reed collection, 1964-1987, MG 573, University of Idaho Library Special Collections and Archives",weisercontest1980tape07_side1,sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest1980tape07_side1.mp3,,
